,code,name,latitude,longitude
,00A,Total Rf Heliport,40.07080078125,-74.9336013793945
,00AA,Aero B Ranch Airport,38.704022,-101.473911
,00AK,Lowell Field,59.947733,-151.692524
,00AL,Epps Airpark,34.8647994995117,-86.7703018188477
,,Newport Hospital & Clinic Heliport,35.6087,-91.254898
,00AS,Fulton Airport,34.9428028,-97.8180194
,00AZ,Cordes Airport,34.3055992126465,-112.165000915527
,00CA,Goldstone (GTS) Airport,35.35474,-116.885329
,00CL,Williams Ag Airport,39.427188,-121.763427
,00CN,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417
,,Cass Field,40.622202,-104.344002
,00FA,Grass Patch Airport,28.6455001831055,-82.2190017700195
,00FD,Ringhaver Heliport,28.8465995788574,-82.3453979492188
,00FL,River Oak Airport,27.230899810791,-80.9692001342773
,00GA,Lt World Airport,33.7675018310547,-84.0682983398438
,00GE,Caffrey Heliport,33.887982,-84.736983
,00HI,Kaupulehu Heliport,19.832715,-155.980233
,00ID,Delta Shores Airport,48.1453018188477,-116.213996887207
,00IG,Goltl Airport,39.724028,-101.395994
,,Bailey Generation Station Heliport,41.644501,-87.122803
,00IL,Hammer Airport,41.978401,-89.560402
,00IN,St Mary Medical Center Heliport,41.5113983154297,-87.2605972290039
,00IS,Hayenga's Cant Find Farms Airport,40.0256004333496,-89.1229019165039
,00KS,Hayden Farm Airport,38.7277984619141,-94.9304962158203
,00KY,Robbins Roost Airport,37.4094009399414,-84.6196975708008
,00LA,Shell Chemical East Site Heliport,30.191944,-90.980833
,00LL,Ac & R Components Heliport,39.6652984619141,-89.7055969238281
,00LS,Lejeune Airport,30.136299,-92.429398
,00MD,Slater Field,38.7570991516113,-75.7537994384766
,00MI,Dow Chemical Heliport,43.9494018554688,-86.4167022705078
,00MN,Battle Lake Municipal Airport,46.2999992370605,-95.7003021240234
,00MO,Cooper Flying Service Airport,37.202800750732,-94.412399291992
,00MT,Livingston Healthcare Heliport,45.675,-110.52515
